Record Length,10000,,Source,CH1,CH2
Sample Interval,CH1:0.0000000400000 CH2:0.0000000400000,,Second,Volt,Volt
,,,-0.00019012000,-0.02000,0.64000
,,,-0.00019008000,-0.01800,0.64000
,,,-0.00019003999,-0.01600,0.64000
,,,-0.00019000001,-0.01600,0.64000
,,,-0.00018996000,-0.01800,0.64000
,,,-0.00018992000,-0.01600,0.64000
,,,-0.00018988000,-0.01800,0.64000
,,,-0.00018983999,-0.02200,0.64000
,,,-0.00018980000,-0.02000,0.64000
,,,-0.00018976000,-0.02000,0.64000
,,,-0.00018972000,-0.02200,0.64000
,,,-0.00018967999,-0.02000,0.64000
,,,-0.00018963999,-0.02000,0.64000
,,,-0.00018960000,-0.02000,0.64000
,,,-0.00018956000,-0.01800,0.64000
,,,-0.00018952000,-0.01800,0.68000
,,,-0.00018947999,-0.02200,0.68000
,,,-0.00018944000,-0.02200,0.68000
,,,-0.00018940000,-0.02200,0.68000
,,,-0.00018936000,-0.02400,0.68000
,,,-0.00018932000,-0.02400,0.68000
,,,-0.00018927999,-0.02000,0.68000
,,,-0.00018924000,-0.02000,0.68000
,,,-0.00018920000,-0.02000,0.68000
,,,-0.00018916000,-0.02000,0.72000
,,,-0.00018911999,-0.01800,0.72000
,,,-0.00018908000,-0.01800,0.68000
,,,-0.00018904000,-0.02000,0.72000
,,,-0.00018900000,-0.02200,0.72000
,,,-0.00018896000,-0.02200,0.72000
,,,-0.00018891999,-0.02400,0.72000
,,,-0.00018888000,-0.02200,0.72000
,,,-0.00018884000,-0.02200,0.72000
,,,-0.00018880000,-0.02600,0.72000
,,,-0.00018875999,-0.02600,0.72000
,,,-0.00018872001,-0.02200,0.72000
,,,-0.00018868000,-0.02200,0.72000
,,,-0.00018864000,-0.02200,0.72000
,,,-0.00018860000,-0.02200,0.72000
,,,-0.00018855999,-0.02400,0.72000
,,,-0.00018852000,-0.02200,0.76000
,,,-0.00018848000,-0.02200,0.76000
,,,-0.00018844000,-0.02200,0.76000
,,,-0.00018839999,-0.02200,0.76000
,,,-0.00018836001,-0.02000,0.72000
,,,-0.00018832000,-0.02400,0.72000
,,,-0.00018828000,-0.02400,0.72000
,,,-0.00018824000,-0.02200,0.72000
,,,-0.00018819999,-0.02600,0.72000
,,,-0.00018816000,-0.02400,0.72000
,,,-0.00018812000,-0.02400,0.76000
,,,-0.00018808000,-0.02600,0.76000
,,,-0.00018803999,-0.02400,0.76000
,,,-0.00018800001,-0.02400,0.76000
,,,-0.00018796000,-0.02400,0.76000
,,,-0.00018792000,-0.02200,0.76000
,,,-0.00018788000,-0.02600,0.76000
,,,-0.00018783999,-0.02800,0.76000
,,,-0.00018780000,-0.02800,0.76000
,,,-0.00018776000,-0.02600,0.76000
,,,-0.00018772000,-0.02600,0.76000
,,,-0.00018767999,-0.02600,0.76000
,,,-0.00018764001,-0.02600,0.76000
,,,-0.00018760000,-0.02600,0.80000
,,,-0.00018756000,-0.02600,0.80000
,,,-0.00018752000,-0.02400,0.80000
,,,-0.00018747999,-0.02400,0.80000
,,,-0.00018744000,-0.02400,0.80000
,,,-0.00018740000,-0.02400,0.80000
,,,-0.00018736000,-0.02600,0.80000
,,,-0.00018731999,-0.02800,0.80000
,,,-0.00018728001,-0.02800,0.80000
,,,-0.00018724000,-0.03000,0.84000
,,,-0.00018720000,-0.03000,0.84000
,,,-0.00018716000,-0.02800,0.84000
,,,-0.00018711999,-0.02800,0.84000
,,,-0.00018708000,-0.02800,0.84000
,,,-0.00018704000,-0.02800,0.88000
,,,-0.00018700000,-0.03000,0.88000
,,,-0.00018695999,-0.03200,0.88000
,,,-0.00018692001,-0.03000,0.88000
,,,-0.00018688000,-0.03200,0.88000
,,,-0.00018684000,-0.03200,0.92000
,,,-0.00018680000,-0.03000,0.92000
,,,-0.00018675999,-0.03000,0.92000
,,,-0.00018672000,-0.02600,0.92000
,,,-0.00018668000,-0.02600,0.92000
